gt,pred,count
0,∅,32
∅,0,30
8,∅,27
6,∅,23
∅,1,23
4,∅,20
9,∅,19
3,∅,18
5,6,15
5,∅,15
7,∅,15
∅,3,15
1,∅,14
2,∅,14
3,5,14
∅,2,14
∅,5,13
∅,6,13
8,6,12
∅,9,12
7,1,11
1,0,10
6,8,9
∅,8,9
∅,A,9
2,3,8
6,0,8
6,4,8
6,5,8
8,9,8
9,3,8
3,0,7
5,3,7
7,2,7
∅,4,7
∅,7,7
1,3,6
2,0,6
4,2,6
8,3,6
0,1,5
0,6,5
2,4,5
4,1,5
E,F,5
0,8,4
1,7,4
3,2,4
3,6,4
3,9,4
5,2,4
6,3,4
8,0,4
9,5,4
B,A,4
C,L,4
0,3,3
0,4,3
1,2,3
1,9,3
2,7,3
3,1,3
4,0,3
5,0,3
5,9,3
8,2,3
8,4,3
9,8,3
D,∅,3
F,A,3
F,H,3
H,A,3
K,A,3
∅,B,3
0,9,2
1,4,2
2,1,2
2,5,2
2,8,2
2,9,2
3,7,2
4,3,2
4,6,2
4,8,2
5,4,2
6,1,2
6,2,2
6,9,2
7,0,2
7,3,2
7,5,2
8,1,2
8,5,2
9,0,2
A,1,2
A,H,2
A,K,2
A,L,2
A,∅,2
C,A,2
C,P,2
C,∅,2
D,U,2
E,B,2
F,∅,2
G,K,2
H,∅,2
K,T,2
K,∅,2
L,∅,2
M,N,2
M,∅,2
N,H,2
P,B,2
P,K,2
P,N,2
T,K,2
∅,D,2
∅,L,2
0,2,1
0,7,1
0,A,1
0,T,1
1,5,1
1,6,1
1,8,1
1,A,1
2,C,1
3,4,1
3,8,1
3,B,1
3,C,1
3,F,1
3,G,1
4,5,1
4,7,1
4,9,1
5,1,1
6,7,1
6,B,1
6,K,1
7,4,1
8,B,1
8,T,1
9,1,1
9,4,1
9,6,1
9,A,1
9,B,1
A,0,1
A,5,1
A,B,1
A,S,1
A,V,1
B,3,1
B,8,1
B,E,1
B,H,1
B,K,1
B,L,1
B,M,1
B,∅,1
C,4,1
C,B,1
C,F,1
D,F,1
E,∅,1
F,1,1
F,8,1
F,B,1
F,K,1
F,X,1
H,0,1
H,8,1
H,P,1
H,T,1
K,0,1
K,2,1
K,6,1
K,8,1
L,4,1
L,H,1
L,K,1
M,A,1
M,B,1
M,H,1
M,K,1
N,9,1
N,∅,1
P,F,1
P,∅,1
S,∅,1
T,3,1
T,8,1
T,X,1
T,∅,1
V,Y,1
X,9,1
X,K,1
X,M,1
X,∅,1
Y,T,1
Y,∅,1
∅,E,1
∅,G,1
∅,K,1
∅,M,1
∅,N,1
∅,X,1
